Date,SP500 ^GSPC,SP500 ^GSPC,NASDAQ ^IXIC,NASDAQ ^IXIC,DJI ^DJI,DJI ^DJI,RUSSELL2000 ^RUT,RUSSELL2000 ^RUT,FTSE ^FTSE,FTSE ^FTSE,NIKKEI ^N225,NIKKEI ^N225,GOLD GC=F,USD INDEX DX-Y.NYB,VIX
2012-03-01,1408.469970703125,83899660000,3091.570068359375,36686310000,13212.0400390625,3203390000,830.2999877929688,83899660000,5768.5,21190270200,10083.5595703125,3340600000,254540,78.93000030517578,15.535
2012-05-01,1310.3299560546875,86920490000,2827.340087890625,40115930000,12393.4501953125,3050000000,761.8200073242188,86920490000,5320.89990234375,19821912700,8542.73046875,2713200000,345507,83.04000091552734,21.65
2012-06-01,1362.1600341796875,81582440000,2935.050048828125,37458650000,12880.08984375,2923670000,798.489990234375,81582440000,5571.2001953125,18244741900,9006.7802734375,2548800000,11162,81.6500015258789,21.11
2012-08-01,1406.5799560546875,70283810000,3066.9599609375,35708950000,13090.83984375,2267280000,812.0900268554688,70283810000,5711.5,13447450000,8839.91015625,2571500000,11783,81.25,15.32
2012-09-01,1440.6700439453125,69784280000,3116.22998046875,33719730000,13437.1298828125,2701270000,837.4500122070312,69784280000,5742.10009765625,16517517300,8870.16015625,2403400000,25557,79.94000244140625,14.84
2012-10-01,1412.1600341796875,71752320000,2977.22998046875,36367020000,13096.4599609375,2472600000,818.72998046875,71752320000,5782.7001953125,16344114000,8928.2900390625,2738800000,2741,79.91999816894531,16.14
2012-11-01,1416.1800537109375,71489310000,3010.239990234375,36894240000,13025.580078125,2683930000,821.9199829101562,71489310000,5866.7998046875,16159586000,9446.009765625,2687500000,345777,80.1500015258789,16.65
2012-12-01,1426.18994140625,66388180000,3019.510009765625,33522490000,13104.1396484375,2666750000,849.3499755859375,66388180000,5897.7998046875,10068193300,10395.1796875,3432700000,7061,79.7699966430664,16.82
2013-01-01,1498.1099853515625,75848510000,3142.1298828125,39027620000,13860.580078125,2786680000,902.0900268554688,75848510000,6276.89990234375,14215886300,11138.66015625,4335800000,197723,79.20999908447266,13.55
2013-02-01,1514.6800537109375,69273480000,3160.18994140625,35765430000,14054.490234375,2487580000,911.1099853515625,69273480000,6360.7998046875,14127015100,11559.3603515625,5299900000,11784,81.9800033569336,13.5
2013-03-01,1569.18994140625,68527110000,3267.52001953125,33749180000,14578.5400390625,2546320000,951.5399780273438,68527110000,6411.7001953125,15791228900,12397.91015625,4251700000,223847,82.98999786376953,13.105
2013-04-01,1597.5699462890625,77098000000,3328.7900390625,36904330000,14839.7998046875,2920230000,947.4600219726562,77098000000,6430.10009765625,14318860800,13860.8603515625,6211600000,14648,81.7300033569336,13.614999999999998
2013-05-01,1630.739990234375,76447250000,3455.909912109375,39144080000,15115.5703125,2771510000,984.1500244140625,76447250000,6583.10009765625,15759714300,13774.5400390625,7190600000,222108,83.37999725341797,13.100000000000001
2013-06-01,1606.280029296875,74946790000,3403.25,37528250000,14909.599609375,2929040000,977.47998046875,74946790000,6215.5,15906792500,13677.3203125,4755100000,12739,83.16999816894531,16.86
2013-07-01,1685.72998046875,68106820000,3626.3701171875,35889520000,15499.5400390625,2623130000,1045.260009765625,68106820000,6621.10009765625,14667037000,13668.3203125,4145700000,186170,81.44999694824219,13.785
2013-08-01,1632.969970703125,64802810000,3589.8701171875,32934650000,14810.3095703125,2327660000,1010.9000244140625,64802810000,6412.89990234375,13676112800,13388.8603515625,3158800000,10507,82.08999633789062,14.175
2013-10-01,1756.5400390625,76647400000,3919.7099609375,43017190000,15545.75,2206620000,1100.1500244140625,76627760000,6731.39990234375,14042142400,14327.9404296875,3095600000,2723,80.19999694824219,14.71
2013-11-01,1805.81005859375,63628190000,4059.889892578125,35818470000,16086.41015625,1820260000,1142.8900146484375,63509720000,6650.60009765625,12583322200,15661.8701171875,3175900000,270667,80.68000030517578,12.86
2014-01-01,1782.5899658203125,75871910000,4103.8798828125,45227610000,15698.849609375,2177040000,1130.8800048828125,75871910000,6510.39990234375,15183203400,14914.5302734375,3734900000,189701,81.2699966430664,13.28
2014-02-01,1859.449951171875,69725590000,4308.1201171875,39978180000,16321.7099609375,2067820000,1183.030029296875,69725590000,6809.7001953125,17298837700,14841.0703125,3390300000,11943,79.77999877929688,14.51
2014-03-01,1872.3399658203125,71885030000,4198.990234375,46796180000,16457.66015625,2095940000,1173.0400390625,71885030000,6598.39990234375,18328722100,14827.830078125,3011800000,255794,80.0999984741211,14.52
2014-04-01,1883.949951171875,71595810000,4114.56005859375,44391220000,16580.83984375,1986960000,1126.8599853515625,71595810000,6780.0,15498792200,14304.1103515625,2575500000,8265,79.48999786376953,13.82
2014-05-01,1923.5699462890625,63623630000,4242.6201171875,39290130000,16717.169921875,1643160000,1134.5,63623630000,6844.5,13894805500,14632.3798828125,2560200000,211143,80.37000274658203,12.42
2014-07-01,1930.6700439453125,66524690000,4369.77001953125,39536410000,16563.30078125,1690880000,1120.0699462890625,66524690000,6730.10009765625,13168689700,15620.76953125,2467400000,224607,81.45999908447266,12.02
2014-08-01,2003.3699951171875,58131140000,4580.27001953125,33417300000,17098.44921875,1482600000,1174.3499755859375,58131140000,6819.7998046875,10850819300,15424.58984375,2300800000,9633,82.75,12.42
2014-09-01,1972.2900390625,66706000000,4493.39013671875,39631130000,17042.900390625,1870550000,1101.6800537109375,66506610000,6622.7001953125,15417322100,16173.51953125,2530100000,27705,85.94000244140625,12.88
